FullAddress,PrimaryAddress,SecondaryAddress,City,State,ZipCode,OrderRevenue,OrderDate,OrderNumber,CustomerID,FirstTimeOrder
195 Robert Path Suite 756,195 Robert Path,Suite 756,Robertchester,MT,20947,340.18,2021-01-01,12901769,U1727318,0
56072 Hill Loaf Apt. 869,56072 Hill Loaf,Apt. 869,Ryanville,WA,91099,594.23,2021-01-01,84005973,U3423024,1
593 Mitchell Lane Apt. 289,593 Mitchell Lane,Apt. 289,Marissatown,SD,30717,183.71,2021-01-01,78220340,U3551470,0
24199 Nathaniel Lights Suite 428,24199 Nathaniel Lights,Suite 428,Charlesshire,MA,25141,633.87,2021-01-01,96771757,U4290371,0
2542 Jennifer Heights Apt. 243,2542 Jennifer Heights,Apt. 243,Jorgemouth,FL,92426,949.45,2021-01-01,72547075,U2432936,0
PSC 3873 Box 0647,PSC 3873,Box 0647,APO,AE,00955,533.97,2021-01-01,50718718,U3760900,1
446 Padilla Views,446 Padilla Views,,Johnchester,CT,34312,164.94,2021-01-01,66982546,U1884000,1
5100 Carlos Stream Apt. 381,5100 Carlos Stream,Apt. 381,Helenland,WI,61348,927.64,2021-01-01,53204281,U5097862,0
753 Lisa Isle Apt. 368,753 Lisa Isle,Apt. 368,Smithside,MS,22491,917.55,2021-01-01,24529149,U7675259,0
767 Danielle Trafficway Apt. 215,767 Danielle Trafficway,Apt. 215,Christophershire,NY,38031,794.1,2021-01-01,28806961,U3486856,0
54357 Miranda Plain,54357 Miranda Plain,,Omarfort,RI,15961,25.21,2021-01-01,96772207,U3422373,0
22421 Estrada Isle Apt. 447,22421 Estrada Isle,Apt. 447,Port Lisatown,WA,89507,350.9,2021-01-01,76322605,U4483556,0
61896 Hurley Walks Suite 458,61896 Hurley Walks,Suite 458,New Emilyborough,OK,55537,667.94,2021-01-01,61153651,U9358506,0
34184 Kelly Summit Suite 033,34184 Kelly Summit,Suite 033,East Shannon,AR,64636,11.94,2021-01-01,32775494,U7991075,1
924 White Manor,924 White Manor,,Branchmouth,MA,25420,272.46,2021-01-01,44083523,U3544361,0
57751 Diana Port Suite 571,57751 Diana Port,Suite 571,East Josephhaven,ME,38097,307.72,2021-01-01,93262441,U1962620,0
9190 Stephen Expressway Apt. 495,9190 Stephen Expressway,Apt. 495,Wangfort,MN,45835,327.11,2021-01-01,19650157,U6603939,0
220 Teresa Ramp Suite 102,220 Teresa Ramp,Suite 102,Johnsonfort,MA,96566,759.51,2021-01-01,89308259,U3515383,1
620 Laura Lakes,620 Laura Lakes,,Matthewtown,MT,11455,877.85,2021-01-01,92872951,U4783063,0
