FullAddress,PrimaryAddress,SecondaryAddress,City,State,ZipCode,TestCell
9791 Regina Mountains,9791 Regina Mountains,,Andreaborough,NJ,71407,TEST1
2328 Figueroa Skyway Apt. 290,2328 Figueroa Skyway,Apt. 290,Kimberlyview,PA,94718,TEST1
646 Andrews Place Suite 935,646 Andrews Place,Suite 935,Port Joshuaburgh,MD,71511,TEST1
9584 Yolanda Inlet North,9584 Yolanda Inlet North,,Danielside,ID,53970,TEST1
05552 Bennett Ways Suite 981,05552 Bennett Ways,Suite 981,Ryanbury,NE,34348,TEST1
69506 Brian Road Suite 755,69506 Brian Road,Suite 755,Joanntown,AR,89108,TEST1
7499 Thompson Ferry Suite 594,7499 Thompson Ferry,Suite 594,Kristinville,AK,75114,TEST1
8343 Lopez Mews,8343 Lopez Mews,,North Carolinemouth,IN,57966,TEST1
53974 Kristin Bypass,53974 Kristin Bypass,,West Lindsay,OK,24564,TEST1
195 Robert Path Suite 756,195 Robert Path,Suite 756,Robertchester,MT,20947,TEST1
868 Antonio Motorway Suite 853,868 Antonio Motorway,Suite 853,Port Briannaport,IA,06409,TEST1
9007 George Hills,9007 George Hills,,Lake Andrew,MT,07480,TEST1
3318 George Turnpike,3318 George Turnpike,,Sandraberg,AL,64398,TEST1
43498 Williams Islands Apt. 020,43498 Williams Islands,Apt. 020,North Caseyton,VT,11789,TEST1
2515 Lucas Radial Suite 543,2515 Lucas Radial,Suite 543,Royberg,AL,94354,TEST1
205 Munoz Tunnel,205 Munoz Tunnel,,Fieldston,NE,07456,TEST1
566 Smith Forge Suite 916,566 Smith Forge,Suite 916,South David,MD,49552,TEST1
072 Kim Cape,072 Kim Cape,,New Coryfurt,AK,45259,TEST1
17494 Barry Trafficway,17494 Barry Trafficway,,North Angela,OH,08514,TEST1
32379 King Rapid,32379 King Rapid,,Mcmillanside,CO,49695,TEST1
269 Moore Locks Apt. 217,269 Moore Locks,Apt. 217,Rangelhaven,OR,94730,TEST1
3298 Donovan Vista,3298 Donovan Vista,,Emilychester,OR,77132,TEST1
67937 Timothy Stravenue Apt. 607,67937 Timothy Stravenue,Apt. 607,East Deborah,TX,09579,TEST1
2052 Davis Union North,2052 Davis Union North,,Christopherport,MI,59792,TEST1
05566 Miller Row Suite 628,05566 Miller Row,Suite 628,Davidview,TN,57197,TEST1
85574 Rodriguez Junction Apt. 785,85574 Rodriguez Junction,Apt. 785,Lake Kellyshire,HI,85151,TEST1
57118 Samantha Rue,57118 Samantha Rue,,Petersburgh,NJ,41453,TEST1
28896 Garcia Groves,28896 Garcia Groves,,Brownberg,NJ,66654,TEST1
6781 Jimenez Creek Apt. 491,6781 Jimenez Creek,Apt. 491,New Kimberlyville,UT,25295,TEST1
299 Michele Union Apt. 882,299 Michele Union,Apt. 882,East Misty,WY,38907,TEST1
6589 Schultz Pines Suite 709,6589 Schultz Pines,Suite 709,Lake Cynthia,WI,99586,TEST1
87338 Benjamin Parkway Suite 194,87338 Benjamin Parkway,Suite 194,East Tanner,RI,07134,TEST1
178 Sarah Islands,178 Sarah Islands,,Monicaberg,PA,04952,TEST1
13637 Rodriguez Canyon Suite 132,13637 Rodriguez Canyon,Suite 132,Crawfordland,NE,27814,TEST1
77672 Lam Stravenue Suite 557,77672 Lam Stravenue,Suite 557,Candacebury,IL,34405,TEST1
