FullAddress,PrimaryAddress,SecondaryAddress,City,State,ZipCode,TestCell,OrderRevenue
9791 Regina Mountains,9791 Regina Mountains,,Andreaborough,NJ,71407,TEST1,39.06
2328 Figueroa Skyway Apt. 290,2328 Figueroa Skyway,Apt. 290,Kimberlyview,PA,94718,TEST1,726.31
646 Andrews Place Suite 935,646 Andrews Place,Suite 935,Port Joshuaburgh,MD,71511,TEST1,985.48
9584 Yolanda Inlet North,9584 Yolanda Inlet North,,Danielside,ID,53970,TEST1,980.69
05552 Bennett Ways Suite 981,05552 Bennett Ways,Suite 981,Ryanbury,NE,34348,TEST1,54.39
69506 Brian Road Suite 755,69506 Brian Road,Suite 755,Joanntown,AR,89108,TEST1,681.97
7499 Thompson Ferry Suite 594,7499 Thompson Ferry,Suite 594,Kristinville,AK,75114,TEST1,961.29
8343 Lopez Mews,8343 Lopez Mews,,North Carolinemouth,IN,57966,TEST1,598.47
53974 Kristin Bypass,53974 Kristin Bypass,,West Lindsay,OK,24564,TEST1,968.75
195 Robert Path Suite 756,195 Robert Path,Suite 756,Robertchester,MT,20947,TEST1,340.18
868 Antonio Motorway Suite 853,868 Antonio Motorway,Suite 853,Port Briannaport,IA,6409,TEST1,598.76
9007 George Hills,9007 George Hills,,Lake Andrew,MT,7480,TEST1,225.97
3318 George Turnpike,3318 George Turnpike,,Sandraberg,AL,64398,TEST1,357.85
43498 Williams Islands Apt. 020,43498 Williams Islands,Apt. 020,North Caseyton,VT,11789,TEST1,93.39
2515 Lucas Radial Suite 543,2515 Lucas Radial,Suite 543,Royberg,AL,94354,TEST1,405.09
205 Munoz Tunnel,205 Munoz Tunnel,,Fieldston,NE,7456,TEST1,502.65
566 Smith Forge Suite 916,566 Smith Forge,Suite 916,South David,MD,49552,TEST1,442.15
072 Kim Cape,072 Kim Cape,,New Coryfurt,AK,45259,TEST1,754.94
17494 Barry Trafficway,17494 Barry Trafficway,,North Angela,OH,8514,TEST1,201.6
32379 King Rapid,32379 King Rapid,,Mcmillanside,CO,49695,TEST1,751.68
269 Moore Locks Apt. 217,269 Moore Locks,Apt. 217,Rangelhaven,OR,94730,TEST1,22.05
3298 Donovan Vista,3298 Donovan Vista,,Emilychester,OR,77132,TEST1,260.35
67937 Timothy Stravenue Apt. 607,67937 Timothy Stravenue,Apt. 607,East Deborah,TX,9579,TEST1,45.89
2052 Davis Union North,2052 Davis Union North,,Christopherport,MI,59792,TEST1,520.74
05566 Miller Row Suite 628,05566 Miller Row,Suite 628,Davidview,TN,57197,TEST1,937.87
85574 Rodriguez Junction Apt. 785,85574 Rodriguez Junction,Apt. 785,Lake Kellyshire,HI,85151,TEST1,791.22
57118 Samantha Rue,57118 Samantha Rue,,Petersburgh,NJ,41453,TEST1,102.89
28896 Garcia Groves,28896 Garcia Groves,,Brownberg,NJ,66654,TEST1,791.12
6781 Jimenez Creek Apt. 491,6781 Jimenez Creek,Apt. 491,New Kimberlyville,UT,25295,TEST1,771.35
299 Michele Union Apt. 882,299 Michele Union,Apt. 882,East Misty,WY,38907,TEST1,912.39
6589 Schultz Pines Suite 709,6589 Schultz Pines,Suite 709,Lake Cynthia,WI,99586,TEST1,271.66
87338 Benjamin Parkway Suite 194,87338 Benjamin Parkway,Suite 194,East Tanner,RI,7134,TEST1,260.4
178 Sarah Islands,178 Sarah Islands,,Monicaberg,PA,4952,TEST1,457.52
